"","track_id","artist_name","title","loudness","tempo","time_signature","key","mode","duration","song_hotttnesss","year","decade"
"99","TRAAHJX128F9312B83","Kai Winding","Mangos",-14.438,112.006,4,0,1,223.4771,0,1961,1965
"101","TRAAHMO128F92DE7C9","Mira","Openbare Weg",-12.004,85.621,4,4,1,177.81506,NA,2006,2005
"102","TRAAHPZ12903CB4643","Citizen Kaned","President Johnson",-8.37,108.061,4,8,0,385.33179,NA,2000,1995
"103","TRAAHRF128F92FE234","The Brooklyn Tabernacle Choir","Lead Me Lord",-11.829,216.195,5,7,1,324.44036,0.405115722,1995,1995
"107","TRAAHYV128F932A425","Carl Cox Vs Yousef","I Want You (Forever)",-5.701,130.016,5,1,1,357.82485,0.511254835,1991,1985
"108","TRAAHZP12903CA25F4","Organized Konfusion","Hate",-8.709,175.769,4,11,0,198.3473,0.460484845,1997,1995
"109","TRAAIAE128F42AC53D","Martina McBride","I Can't Stop Loving You",-13.627,100.194,3,7,1,261.95546,0.488289876,2005,2005
"110","TRAAIAN12903CFF16D","Horace Andy","Thank You Lord",-11.479,151.911,4,2,1,176.27383,NA,1985,1985
"113","TRAAIDY128F92CA454","Hot Tuna","Candy Man",-9.275,172.398,1,0,1,239.59465,NA,1971,1965
"116","TRAAIHL128F92E6DDA","Boyz II Men","On Bended Knee",-7.103,116.473,4,8,1,329.27302,0.345802234,1994,1985
"118","TRAAIII128F427D5D8","Donny Hathaway","Little Girl (LP Version)",-15.144,111.191,3,2,1,283.21914,0.617365618,1971,1965
"120","TRAAINT128F933BBE0","Les Ogres De Barback","Niev nietch nievitch",-6.01,137.888,1,4,0,254.06649,0.394394856,1999,1995
"124","TRAAIYR12903CD290D","Wolfmother","White Feather",-5.931,110.745,4,4,0,212.37506,NA,2009,2005
"125","TRAAJAC128F148B530","The Roches","Christlike Roche",-14.248,130.027,4,2,0,338.33751,0.265861049,1995,1995
"128","TRAAJEK128F422F55A","Jupiter Rising","They Say (Album)",-5.913,119.979,4,0,0,193.4624,0.215080319,2007,2005
"130","TRAAJJA12903CC518A","Saafir","Crawl Before You Ball (Album Version)",-6.019,188.886,4,5,1,234.762,NA,1999,1995
"131","TRAAJJG128F4284B27","The Verve Pipe","Medicate Myself",-4.953,133.306,4,9,1,292.8322,0.466304831,2001,1995
"132","TRAAJJV128F42A2F99","Bob Neuwirth","Biding Her Time",-18.114,152.267,3,4,1,241.10975,0.480610618,1990,1985
"137","TRAAJXQ128F92E65BF","Cama","In This Life",-5.904,155.074,1,1,0,210.36363,NA,2009,2005
"138","TRAAJYX128F4255568","Maxi Priest","Groovin' In The Midnight",-8.095,61.971,1,10,0,301.81832,0.345802234,1991,1985
"139","TRAAKAS128F4246013","Porcupine Tree","Waiting",-7.982,124.04,5,6,0,416.80934,0.82517354,1997,1995
"141","TRAAKDF128F92FA302","Foo Fighters","Hell",-5.699,152.127,4,7,1,117.002,NA,2005,2005
"144","TRAAKNS12903CC5198","Robben Ford","I Got Over It (Album Version)",-11.976,154.322,4,11,0,203.98975,0.47212112,1988,1985
"147","TRAAKTK128F9343DCC","Soda Stereo","Te Hacen Falta Vitaminas",-3.818,175.421,1,11,0,225.12281,NA,1984,1975
"152","TRAALCM128F4264370","Toni Braxton Featuring Shaggy","Christmas In Jamaica",-5.21,149.94,4,0,1,219.01016,NA,2001,1995
"153","TRAALDU128F930D56B","Perrey And Kingsley","Gossippo Perpetuo",-12.717,135.78,4,0,1,127.9473,0.444401715,2001,1995
"156","TRAALNG12903D014E9","Enthroned","The Vitalized Shell",-4.878,135.535,7,2,0,240.74404,0.543052864,2010,2005
"157","TRAALRZ128F429024E","Suzanne Ciani","Mozart",-23.988,139.189,3,2,1,192.20853,0.608500079,1989,1985
"159","TRAALUX12903CFD50B","Johnny Osbourne","Lend Me Your Chopper",-9.741,163.445,4,3,0,215.30077,0,2004,1995
"160","TRAALZC128F92E11A6","Dolly Parton","Letter To Heaven",-11.965,114.027,3,7,0,155.21914,NA,1971,1965
"162","TRAAMES128F42AF068","Pearl Jam","Inside Job",-8.403,105.994,3,4,0,428.56444,0.659304669,2006,2005
"164","TRAAMFT128F93128AD","Mastodon","The Czar: Usurper/Escape/Martyr/Spiral (Album Version)",-5.884,118.433,4,7,0,654.28853,0.626612803,2009,2005
"167","TRAAMJY128F92F5919","DJ Quik","Born and Raised In Compton",-6.998,181.115,4,7,0,205.58322,NA,1991,1985
"170","TRAAMKP12903CC74F4","2-4 Grooves feat. Reki D.","Relax",-7.661,126.941,4,4,0,203.83302,NA,2009,2005
"172","TRAAMPA128F92E7D0D","Descendents","Orgofart",-28.347,89.495,4,6,0,140.66893,0.519448581,1986,1985
"173","TRAAMSO128EF348DCC","L.A. Guns","Bitch Is Back",-2.869,102.259,3,5,0,201.09016,NA,1988,1985
"174","TRAAMXP128F4264F6A","Bare Jr.","Naked Albino",-7.309,107.529,3,10,1,254.79791,0,1998,1995
"178","TRAANBH128F9345A6C","Diesel Boy","Cooler Than You",-4.793,133.729,1,11,1,124.15955,0.405652196,1998,1995
"180","TRAANLO128F422AE37","Cradle Of Filth","Summer Dying Fast",-6.2,193.693,4,2,0,321.35791,NA,1994,1985
"185","TRAANTZ128E0792529","Nine Inch Nails","The Frail",-16.968,130.284,4,7,0,168.56771,NA,1999,1995
"186","TRAAODT12903D0D16E","Susana Seivane","Para Milladoiro",-13.038,152.013,4,10,1,350.71955,0,2010,2005
"188","TRAAOIN128F9303790","Test Icicles","Snowball",-4.172,75.031,4,4,0,190.24934,0.543052864,2005,2005
"189","TRAAOJI128F1458DCD","Heaven 17","(We Don't Need This) Fascist Groove Thang",-10.756,150.837,4,7,1,255.16363,NA,1981,1975
"192","TRAAOTD128F42322FC","Mance Lipscomb","Going Down Slow",-23.527,97.981,1,11,1,187.53261,0.350979506,2000,1995
"195","TRAAOXM12903CFB3B0","Moss","Silent Hill",-7.672,111.079,4,2,1,329.35138,0.570850642,2009,2005
"198","TRAAPFQ128F42684DB","Dimmu Borgir","Master Of Disharmony",-4.2,140.458,3,6,0,282.53995,NA,1996,1995
"199","TRAAPGF128F1458F8B","Public Image Ltd","(This Is Not A) Love Song (Live)",-16.433,132.506,4,0,1,388.28363,0.26396982,1983,1975
"200","TRAAPIV128F1493132","Gary Moore","What Are We Here For",-6.951,153.862,4,2,1,345.93914,0.447135796,1997,1995
"201","TRAAPLS12903CB2D40","Pascal Sangla","Une petite pause",-14.737,93.238,4,9,1,243.1473,0,2010,2005
"202","TRAAPPQ128F14961F5","The B-52's","Wig",-9.628,124.086,4,0,1,261.74649,0.714046553,1986,1985
"204","TRAAPSQ12903CAE86A","Sex Pistols","God Save the Queen (Live)",-3.736,145.518,4,9,1,216.60689,0.413739836,1988,1985
"206","TRAAPWD128F931ACD4","Deekline & Wizard","Sun Is Shining",-6.947,90.648,3,0,1,271.77751,0.319565987,2004,1995
"208","TRAAQBF12903CF796B","Hem","Have Yourself A Merry Little Christmas",-15.736,89.86,1,5,1,133.27628,0.360370583,2005,2005
"209","TRAAQCK128F92E8C33","Lily Allen","U Killed It",-5.871,156.097,4,9,1,264.69832,0.566988444,2006,2005
"214","TRAAQIH128F428BDEA","Busdriver","(Bloody Paw On The) Kill Floor",-6.258,155.038,4,6,1,192.1824,0.519403046,2007,2005
"215","TRAAQLE128F424AE71","Byther Smith","I Wish My Mother Was Here",-11.702,117.168,3,1,1,418.87302,0.437351761,1989,1985
"216","TRAAQLJ128F428E870","Bebo & Cigala","Inolvidable",-14.509,132.967,1,2,0,198.26893,0.676548906,2003,1995
"217","TRAAQOH128F4265CE6","Bizarre Inc","Miracle",-9.062,139.91,4,11,1,420.10077,NA,1996,1995
"218","TRAAQPS128F429161D","Bongzilla","Witch Weed (Live)",-6.788,95.882,4,9,1,397.26975,0.460541281,1999,1995
"219","TRAAQUC128F9322A82","The Gone Jackals","Not Buried Deep Enough",-12.772,135.175,3,4,1,229.79873,0.495293621,1995,1995
"222","TRAAQYN128F92ED77E","S.U.P","The Cube (Live)",-8.161,137.862,4,11,0,384.70485,NA,2001,1995
"226","TRAARHS128F931689D","The Killers","Spaceman",-6.546,151.953,4,4,1,284.3424,NA,2008,2005
"232","TRAASFP128F42980BD","Orbital","Illuminate",-6.531,125.975,4,0,1,327.8624,0.688521844,2001,1995
"233","TRAASGM128EF34DBB0","Bone Thugs-N-Harmony / Akon","Never Forget Me",-6.933,154.09,4,1,1,286.30159,0.557880389,2007,2005
"234","TRAASIG128F92C3A6B","Moonsorrow","Ukkosenjumalan poika",-4.178,124.237,4,9,1,356.49261,NA,2001,1995
"235","TRAASKO128F427CE1C","N.W.A.","A B***** Is A B***** (Edited)",-8.91,97.099,4,9,1,168.75057,0,1989,1985
"236","TRAASKQ128F4265E04","Rage Against The Machine","Kick Out The Jams",-2.069,140.63,1,9,1,201.56036,NA,2000,1995
"238","TRAASQC128F93480F0","Rise Against","Amber Changing",-3.803,186.254,4,4,1,218.8273,0.696469437,2003,1995
"239","TRAASSO12903CDD2FF","Ultraviolence","Murder Academy",-10.57,210.47,4,1,1,303.04608,0.215080319,1995,1995
"240","TRAASUZ128F9314950","Korn","Hey Daddy",-6.694,94.057,4,7,1,224.522,NA,1999,1995
"243","TRAATBN128F14ACE82","James Horner","Atmosphere Station",-38.525,90.084,1,9,1,191.81669,0.545230294,1986,1985
"244","TRAATGM12903C9CD7C","Tantric","Walk Away",-1.843,106.698,1,2,1,177.24036,0.447135796,2009,2005
"245","TRAATIU128F4291A84","Mastodon","Shadows That Move",-3.937,89.78,4,2,1,233.58649,0.784194616,2001,1995
"246","TRAATJK128F9339179","Xcultures","Smile",-16.006,107.177,7,9,0,38.3473,0.214253449,2000,1995
"248","TRAATMY128F149562F","U2","Kite Live from Sydney",-7.614,134.083,4,3,1,485.19791,NA,2007,2005
"250","TRAATNJ128F42631BA","Korn","Ever Be",-5.912,160.022,3,10,1,288.49587,NA,2007,2005
"254","TRAATQC128F425AF61","Alexandre Desplat","Palmer enquÃªte",-16.942,128.173,4,7,0,70.26893,NA,2004,1995
"259","TRAAUEO128E0780CB9","Placebo","English Summer Rain",-7.255,108.264,4,10,0,241.52771,0.873702495,2003,1995
"261","TRAAUGZ128F9307F78","Gertrudis","Intro",-12.385,97.76,4,9,0,106.52689,0.323112121,2009,2005
"262","TRAAUIH128F4254C9D","Warrior King","Empress So Divine",-4.779,241.877,4,10,1,224.28689,0.537503904,2002,1995
"263","TRAAUKK128F933A680","Soda Stereo","Terapia De Amor Intensiva",-11.356,91.328,4,7,1,340.29669,0.547324832,1988,1985
"265","TRAAUMN128F4273561","Soul Asylum","Lies Of Hate",-6.582,68.734,4,11,0,279.2224,0.360370583,1998,1995
"267","TRAAUSW128F426646E","Horace Andy","Musical Episode",-10.173,102.055,1,10,0,234.44853,0.345802234,2005,2005
"268","TRAAUWD128F930DD4E","Jimmy Wakely","Beautiful Brown eyes",-14.123,109.065,1,2,1,155.95057,0.462643183,2001,1995
"270","TRAAUZX128F92F3D53","Rah Digga (Featuring Outsidaz)","The Last Word (Amended Version)",-7.307,201.802,3,7,1,256.80934,0.405115722,2000,1995
"271","TRAAVAH128F4284D7C","RUN-DMC","Hard Times",-12.75,119.67,4,1,1,234.65751,NA,1984,1975
"275","TRAAVIT128F92E657C","Nightwish","Escapist",-4.144,143.97,4,3,1,301.06077,NA,2007,2005
"276","TRAAVJL128F14ACADD","Angelo Badalamenti","Jeffrey's Dark Side",-18.349,61.883,1,6,1,109.37424,0.615372256,1987,1985
"279","TRAAVOK12903CC4773","Buzzhorn","Pinned To The Ground (album version)",-5.627,144.836,3,9,0,239.98649,0.193857803,2002,1995
"280","TRAAVOU128F422F292","Silverstein","Always And Never (Album Version)",-1.998,108.499,4,2,1,229.642,0.658623927,2005,2005
"281","TRAAVRJ128F92FF90A","!!!","Myth Takes",-7.901,193.978,4,11,0,143.98649,0,2007,2005
"283","TRAAWDK128F92E2A17","The Notorious B.I.G.","Who Shot Ya (Amended Album Version)",-5.934,91.69,4,4,1,316.65587,0.274281704,2007,2005
"284","TRAAWGY128F4298A09","Led Zeppelin","Poor Tom (Album Version)",-10.7,210.8,7,1,1,182.09914,0.31276992,1982,1975
"285","TRAAWOR128F92DF3C8","Sandi Thom","Wounded Hearts",-4.332,82.205,4,4,1,205.21751,0.419674279,2008,2005
"287","TRAAWUH128F427F12C","The Field Mice","When Morning Comes To Town",-15.54,162.682,4,3,1,316.73424,0.531612769,1989,1985
"290","TRAAXCM128F427F97B","Malkit Singh","Hai Shava",-11.273,210.305,4,5,1,324.51873,NA,1993,1985
"291","TRAAXEJ12903CA7253","Rodney O & Joe Cooley","Nutty Block",-9.745,175.393,4,1,0,172.01587,0,1991,1985
"292","TRAAXIR128F92D1938","Dean Martin","Until You Love Someone",-10.917,128.459,5,0,0,165.66812,NA,2005,2005
"293","TRAAXKI128F92DAC1B","Strata","Part One From Triomusic",-21.787,109.671,5,2,1,377.67791,0,2004,1995
"295","TRAAXMX128F9307699","Till West & DJ Delicious","Same Man",-7.535,125.558,4,1,1,153.28608,0.721572661,2006,2005
"296","TRAAXPA128F92FC706","Carlos NuÃ±ez","Quiero Ir Ao Mar",-10.918,211.327,3,9,0,215.35302,NA,2005,2005
"298","TRAAXUY128F426BA55","Gene Clark","Set You Free This Time",-12.77,98.49,1,9,1,168.38485,NA,1998,1995
"300","TRAAYGH128F92ECD16","The Shirelles","Will You Love Me Tomorrow",-9.79,68.283,4,0,1,159.76444,NA,1960,1965
"305","TRAAYTI128F933663B","Abraham Laboriel","Exchange",-8.489,93.106,4,11,0,368.16934,0.319565987,1995,1995
"307","TRAAZBD128F427A97D","Sticky Fingaz","Oh My God",-5.947,80.149,4,6,0,266.4224,0.636287224,2000,1995
"309","TRAAZGC12903CB5DFB","The Jeff Healey Band","Hoochie Coochie Man",-11.488,107.197,3,7,1,313.7824,NA,1989,1985
"311","TRAAZIE128F427961E","Danny Wilson","The Second Summer Of Love",-7.928,196.034,4,7,1,167.20934,NA,1989,1985
"314","TRAAZLK128F93586D6","SWAMI featuring Asuivre","Give It What U Got",-2.939,90.008,4,10,0,260.28363,NA,2007,2005
"316","TRAAZPJ128F4292DB5","Lisa Lynne","Isla del Luna",-14.544,95.981,4,2,1,316.49914,0.761303218,1999,1995
"318","TRAAZQW128F93430DC","Shawn Colvin","Another Long One",-13.256,210.871,4,8,1,224.60036,0.425124658,1989,1985
"640","TRABAFJ128F42AF24E","Backstreet Boys","Larger Than Life",-5.12,112.787,4,0,1,236.25098,NA,1999,1995
"641","TRABAFP128F931E9A1","Tiny Tim","I Hold Your Hand In Mine [Live At Royal Albert Hall]",-23.996,93.779,3,6,1,43.36281,0,2000,1995
"649","TRABAZH128F930419A","Glad","Blessed Assurance",-10.754,192.702,5,2,1,270.602,0.473346541,1993,1985
"655","TRABBNP128F932546F","Chase & Status","Ten Tonne",-5.134,174.993,4,4,0,337.68444,0.392008771,2005,2005
"656","TRABBOP128F931B50D","Tom Petty","A Higher Place (Album Version)",-4.954,129.122,4,9,1,236.17261,NA,1994,1985
"660","TRABBXU128F92FEF48","Mitch Ryder","Jenny Take a Ride",-11.255,97.538,4,9,1,207.43791,0.419125893,2004,1995
"663","TRABCEC128F426456E","Danilo Perez","Native Soul",-16.113,159.233,1,7,1,197.19791,0.253834736,2003,1995
"666","TRABCIX128F4265903","Sophie B. Hawkins","The Ballad Of Sleeping Beauty",-6.301,105.003,4,9,1,305.162,0.599660358,1994,1985
"669","TRABCRU128F423F449","Marc Shaiman","City Slickers",-18.341,134.566,4,4,1,149.86404,NA,2008,2005
"670","TRABCTK128F934B224","40 Grit","Intro",-22.752,186.882,3,11,1,75.67628,0.427446571,2003,1995
"671","TRABCUQ128E0783E2B","Gwen Stefani","Harajuku Girls",-4.169,113.995,4,1,1,290.55955,0.684613086,2004,1995
"672","TRABCXB128F4286BD3","Steve Morse","Prognosis",-6.977,90.199,1,4,1,363.85914,0.64068403,2000,1995
"676","TRABDSK128F42443F1","Story Of The Year","Swallow The Knife (Live) (Segue)",-7.626,100.032,4,6,1,75.57179,0.215080319,2005,2005
"677","TRABDTV128E0791839","Natural Elements","Mayday",-6.318,185.88,4,1,1,338.1024,0.401486711,1998,1995
"678","TRABDVD128F4292CDF","Lisa Lynne","Lake Of Dreams",-12.811,94.031,5,0,1,298.10893,0.673875572,1998,1995
"679","TRABDZC128F42AC23F","Neil Sedaka","Because Of You",-9.448,76.013,3,4,0,170.84036,NA,1999,1995
"681","TRABEBP12903C9BA03","A Static Lullaby","Rattlesnake!",-5.537,202.233,4,2,1,213.49832,0.590252715,2008,2005
"683","TRABEFN128F92D925B","Coph Nia","DoppelgÃ_nger [Qliphothic Phantasmagoria]",-17.16,116.819,3,5,0,658.02404,NA,2000,1995
"685","TRABEKF128F42765FF","Nights Like These","Ghost Town Rituals (Album Version)",-4.053,124.872,1,5,1,305.89342,0.334706549,2006,2005
"688","TRABERS128F4247FE1","Stew","Tomorrow Gone",-10.968,100.621,1,7,1,179.9571,NA,2003,1995
"690","TRABFGJ12903CF6A75","Eddy Arnold","Just A Little Lovin' (Will Go A Long Way)",-14.014,157.779,4,11,1,166.16444,NA,1967,1965
"691","TRABFKN12903CAF61B","All Time Low","Shameless",-2.838,91.483,4,2,1,221.67465,0.270775999,2007,2005
"693","TRABFPX128F9331F21","Richard Galliano","L' Envers Du DÃ©cor",-15.008,76.296,3,9,1,261.74649,0.340922756,1999,1995
"694","TRABFQC128F4265349","Regina Belle","Quiet Time",-8.916,92.672,4,7,0,307.33016,NA,1993,1985
"695","TRABFTP12903CE6A47","Debbie Davies","Little Sister",-6.908,116.984,4,7,1,225.67138,0.265861049,1998,1995
"699","TRABFZX128F4241355","Daath","From The Blind (LP Version)",-3.325,97.151,4,0,1,230.86975,NA,2006,2005
"702","TRABGIA128F4226F8A","Avril - Remix By Ana Rago","The Date (Remix By Ana Rago)",-18.397,85.282,3,6,1,188.39465,NA,2002,1995
"705","TRABGMB12903CF50FE","Die Fantastischen Vier","BÃ¶se",-5.165,120.001,4,9,0,149.99465,NA,1991,1985
"708","TRABGUU128F4227C0A","Yung Joc","BYOB (Explicit Album Version)",-5.797,174.019,4,4,0,193.64526,0.304169503,2007,2005
"710","TRABGWT128F9334E43","Orquesta AragÃ_n","Ven Morena",-7.113,92.606,4,7,1,173.68771,NA,2003,1995
"713","TRABGZL128F428A25B","Dropkick Murphys","Bloody Pig Pile (Live)",-5.386,183.808,4,9,0,196.72771,0.528782481,2002,1995
"714","TRABHBA128F424CF80","Taint","Hex Breaker",-4.583,92.044,3,1,0,281.46893,0.425124658,2009,2005
"715","TRABHCE128F426361B","VHS Or Beta","The Melting Moon (Edit)",-5.893,126.806,4,9,0,224.20853,0.524969055,2004,1995
"718","TRABHNS128F93125B5","Les Hurlements D'leo","L'accordÃ©oniste",-7.693,104.307,3,7,1,182.04689,NA,1999,1995
"719","TRABHTQ128F92DB038","Charanga Forever","Tumba Tumba",-6.622,203.964,5,1,1,367.43791,0,2000,1995
"721","TRABHVL128F92EFB0E","Bullet For My Valentine","Suffocating Under Words Of Sorrow (What Can I Do)",-2.315,188.924,4,0,1,215.53587,NA,2005,2005
"724","TRABIEL128F931E1F2","Marcus Miller","Let Me Show You [I Just Want To Make You Smile]",-13.078,125.147,4,0,1,280.13669,0.503381236,1983,1975
"726","TRABIKX128F930CE4F","Ayo","Complain",-11.26,128.689,4,0,1,212.71465,0,2006,2005
"727","TRABIOI12903CD8B9B","Kid Sister","Daydreaming [Jakwob Remix]",-3.573,140.026,4,11,0,277.2371,0.573019828,2009,2005
"729","TRABIPA128F1458F79","Public Image Ltd","Ease",-12.091,193.56,4,9,1,492.30322,0.639248489,1985,1985
"730","TRABIQP128F427D0DD","Rise Against","Everchanging",-8.576,122.006,4,11,1,260.8322,NA,2001,1995
"731","TRABISL12903D08B0D","Sizzla","Too much informa",-6.832,190.01,4,7,0,203.96363,NA,2005,2005
"733","TRABIWU12903CDF3B7","Helen Love","So Hot",-6.746,100.76,4,2,0,81.97179,0.299877488,1994,1985
"738","TRABJGY128F93539F9","The Pharcyde","Italian For Goodbye (skit)",-19.461,38.233,4,0,1,11.59791,NA,2004,1995
"739","TRABJIA128F14B189F","Azis","Anti Geroi",-6.608,98.151,4,0,1,281.88689,0.407901717,2006,2005
"740","TRABJIX128C7196953","Amy Winehouse","Stronger Than Me",-7.758,91.198,4,10,1,256.10404,NA,2003,1995
"741","TRABJOT12903CD66AA","George Lopez","Only For The Young",-8.832,75.467,5,4,1,345.23383,NA,2009,2005
"744","TRABJRW128F92EEABD","Jackie Edwards","So Jah Seh",-12.102,161.796,4,1,1,256.62649,0.225940273,2006,2005
"747","TRABJWA128F9309C09","Ensiferum","Warrior's Quest",-4.507,179.988,3,7,1,291.02975,0.660344383,1999,1995
"749","TRABJZT128F425C8DC","The Pharcyde / Big Boy / Schmooche Cat / Randy Mack","The Hustle",-9.636,95.816,4,1,1,334.78485,0.578658188,1995,1995
