"","track_id","artist_name","title","loudness","tempo","time_signature","key","mode","duration","song_hotttnesss","year","popular"
"11161","TRATBLI128F92F78F8","John Mayer","St. Patrick's Day",-7.04,126.711,3,9,1,321.09669,0.769132177,0,1
"1978","TRADNPB128F423AEE7","Modeselektor","Tetrispack",-8.788,205.972,4,2,1,256.31302,0.768534891,2005,1
"56","TRAAEEH128E0795DFE","Chris Rea","Driving Home For Christmas",-8.531,180.149,4,9,1,241.162,0.767727748,1986,1
"7196","TRAMMQW128F42621E1","The Distillers","Oh Serena",-4.048,162.727,4,3,1,152.68526,0.767074842,2000,1
"12541","TRAVWZA128F931F36E","The Tragically Hip","Ahead By A Century",-7.372,84.373,5,7,1,225.43628,0.766174644,1996,1
"12483","TRAVSQE12903CB6879","Zeromancer","The Death Of Romance",-6.236,117.027,4,4,0,207.17669,0.764116981,2010,1
"7821","TRANREH128F93462CF","Kurupt","Girls All Pause",-7.804,103.596,5,1,0,207.98649,0.762646815,1999,1
"1286","TRACFYQ128E0784150","G-Unit","Poppin' Them Thangs",-1.622,88.043,4,11,1,242.52036,0.761878078,2003,1
"316","TRAAZPJ128F4292DB5","Lisa Lynne","Isla del Luna",-14.544,95.981,4,2,1,316.49914,0.761303218,1999,1
"11918","TRAURYF128F147805D","Muse","Supermassive Black Hole (Album Version)",-3.313,120.01,4,7,1,209.34485,0.760347781,0,1
"11776","TRAUEYX12903CEAF48","Architecture In Helsinki","Need To Shout",-10.414,139.999,4,9,1,249.28608,0.760299383,2005,1
"9528","TRAQKVC128F425E65C","The Clash","Inoculated City",-13.143,87.657,5,2,1,130.63791,0.759068343,1982,1
"2448","TRAEBSY128E07873C0","Del Tha Funkee Homosapien","Mistadobalina",-9.495,99.566,4,2,1,257.69751,0.758973794,1991,1
"23018","TRBCORE12903CD6FA0","Chris Rea","Josephine (French Edit)",-7.186,110.1,4,3,0,236.35546,0.758410319,2008,1
"12862","TRAWBOE128F92F2F46","Pearl Jam","You Are",-8.053,94.916,4,10,1,268.69506,0.758095181,2002,1
"5413","TRAJDGB128F42882AC","OutKast","Call Of Da Wild",-6.788,177.662,4,8,0,366.39302,0.757471387,1994,1
"11169","TRATBVA128F9312ACC","Weezer","I Don't Want To Let You Go",-10.571,122.852,4,8,1,228.44036,0.75626739,2009,1
"11989","TRAUYOD128F42647FE","The Vaughan Brothers","Good Texan",-9.759,142.372,4,9,1,262.29506,0.756068011,1990,1
"2005","TRADQAR128F92ED3DC","The Black Crowes","Nonfiction",-8.311,163.204,4,5,0,256.20853,0.755899158,1994,1
"3579","TRAGEVS128F145FEAD","April Wine","Say Hello",-13.666,166.036,1,2,1,179.04281,0.754716332,1979,1
"4391","TRAHWBP12903CAEBFC","Dark Fortress","Evenfall",-3.832,127.817,4,3,1,336.16934,0.754404411,2010,1
"2972","TRAFAIB128F426E636","Placebo","Where Is My Mind (XFM Live Version)",-6.465,84.956,4,5,1,223.92118,0.754321059,2003,1
"10677","TRASMUR128F42775D6","Orbital","Adnans",-10.893,101.99,4,7,1,521.56036,0.754274011,1999,1
"8901","TRAPKBI128F92F9D33","Tom Petty And The Heartbreakers","Christmas All Over Again",-7.72,138.916,4,9,1,254.98077,0.751968603,0,1
"11824","TRAUJTZ12903CF7BB4","Bruce Springsteen","Working On The Highway",-11.516,183.709,4,0,1,191.99955,0.751580891,1984,1
"7823","TRANRFB128F1481F1E","Robert Palmer","Looking For Clues",-11.514,141.674,4,2,0,299.78077,0.751436617,1980,1
"12852","TRAWAXO12903CB2364","Atomic Rooster","The Rock",-12.535,143.137,4,0,0,269.71383,0.750701198,1971,1
"14665","TRAZCOX128F42B6555","Muse","The Small Print",-3.589,161.631,4,2,1,209.00526,0.750583066,0,1
"13159","TRAWZRG128F1489B24","Pennywise","Yell Out",-5.573,201.566,4,8,1,154.85342,0.749313511,2005,1
"6563","TRALHMS128F930C08C","Converge","Dark Horse",-3.373,156.924,4,1,1,174.75873,0.74896057,2009,1
"6188","TRAKYCT12903CBBE17","Sick Of It All","Death Or Jail",-2.388,113.198,1,10,1,171.07546,0.748424604,2010,1
"1287","TRACFZI128E0795424","Saosin","Bury Your Head",-3.753,85.029,4,6,0,212.29669,0.747754816,2005,1
"12428","TRAVNUK128F92F274F","V V Brown","LEAVE!",-6.452,100.009,5,2,0,203.31057,0.747654675,2009,1
"10829","TRASYSY128F92F39F5","Circle Jerks","Group Sex",-8.562,162.384,1,4,1,63.52934,0.746432679,1980,1
"11230","TRATHTH128F42BC347","Kings Of Leon","Ragoo",-6.391,102.066,4,11,0,181.13261,0.746160913,2007,1
"10632","TRASHPV128F4281CB1","The Strokes","Meet Me In The Bathroom",-3.994,93.315,5,7,1,177.18812,0.745743388,2003,1
"9666","TRAQYFL12903D138CF","Daddy Yankee","Descontrol",-4.064,93.029,4,1,1,172.90404,0.74498651,2010,1
"3048","TRAFIQB128F423DCBA","Tad","Stumblin' Man (Album)",-12.067,157.532,4,2,1,215.43138,0.743943725,1991,1
"873","TRABUYT128F93069C8","Baroness","The Sweetest Curse",-7.803,176.066,3,10,0,270.52363,0.742185319,2009,1
"7835","TRANRWM128F42873F9","Eyes Set to Kill","Liar in the Glass",-3.492,91.873,4,2,1,238.05342,0.741913732,2006,1
"23110","TRBCWPC128F42438DF","Alexander O'Neal","Saturday Love",-8.326,117.949,4,9,1,301.45261,0.741621754,2008,1
"6033","TRAKJNX128F92CF428","Fergie","London Bridge",-5.93,91.02,4,1,1,208.95302,0.741574423,0,1
"22974","TRBCJUF128F93190C2","Lily Allen","Everyone's At It",-6.399,116.957,3,5,1,277.83791,0.740467827,2009,1
"11961","TRAUVSF128F14A0B6F","ATB","Collides With Beauty",-6.615,136.967,4,0,1,349.04771,0.739737283,2004,1
"22867","TRBCANP128F92FA6B9","Evanescence","Good Enough",-12.527,91.371,4,0,1,331.36281,0.73897068,2006,1
"5433","TRAJFDU128F426A5F4","Silverchair","The Door",-5.382,91.922,4,7,1,213.13261,0.738814996,1997,1
"9438","TRAQDXL128F4260EB8","Jeff Beck","Head For Backstage Pass",-8.951,131.554,4,9,1,163.83955,0.737994182,1976,1
"7276","TRAMTYX128F42985D0","The Misfits","Halloween II",-9.742,83.953,1,2,1,133.27628,0.737927652,1981,1
"8479","TRAOWBP128F4257C64","Jack Johnson","Monsoon",-6.892,142.449,4,11,0,264.82893,0.73761557,2008,1
"142","TRAAKDG128F42A0ECB","Shakira Featuring Wyclef Jean","Hips Don't Lie (featuring Wyclef Jean)",-5.152,100.023,4,10,0,217.36444,0.73738531,0,1
"5504","TRAJLOR128F428CCC9","Patti Smith","Wing",-12.359,146.454,3,2,1,293.53751,0.736736986,1996,1
"14213","TRAYQAI12903CBDD3D","Kat Deluna / Akon","Push Push",-4.87,130.073,4,11,0,188.96934,0.736526578,0,1
"14050","TRAYAKN128F9330A65","Ghost Machine","What You Made Me (Ugli)",-4.428,160.057,4,5,1,201.29914,0.736265035,2005,1
"10559","TRASAIH128F931F567","Thrice","Betrayal Is A Symptom",-5.176,114.179,1,8,1,169.63873,0.735346456,2002,1
"6051","TRAKLHO128F42BA554","The Rolling Stones","Rocks Off",-8.242,141.808,1,9,1,272.43057,0.735168669,1972,1
"14736","TRAZJGD128F4289D2A","Gym Class Heroes","To Bob Ross With Love (Album Version)",-7.468,93.408,4,6,0,158.64118,0.734996573,2005,1
"6016","TRAKHXX128E07877EB","Red Hot Chili Peppers","Emit Remmus (Album Version)",-2.267,112.961,4,0,0,240.19546,0.73451325,1999,1
"11225","TRATHFM128F148ADD4","Eastmountainsouth","Hard Times",-8.843,125.986,4,6,1,225.61914,0.733990879,2003,1
"8306","TRAOEAQ12903CC26BD","This Is Hell","RECKLESS",-5.261,150.006,4,8,1,119.7971,0.733956331,2008,1
"8401","TRAOOHM128F1453E33","Juelz Santana","Lil' Boy Fresh",-4.148,99.742,5,11,0,233.92608,0.733916707,2005,1
"3591","TRAGFVT128F92ECB5D","Oasis","Don't Go Away",-5.676,162.069,4,0,1,289.2273,0.733549594,0,1
"10619","TRASGKM128F42644C5","Helmet","Street Crab",-10.562,141.165,3,9,0,212.16608,0.733541056,1994,1
"12964","TRAWIQY12903CCC64A","Evanescence","Missing (Live in Europe)",-8.061,87.522,4,2,0,255.13751,0.732895806,0,1
"11966","TRAUWFN128F1462E09","Yellowcard","One Year_ Six Months",-7.063,89.896,4,7,1,208.79628,0.732428073,2003,1
"10753","TRASSZI128F146EC5F","Snow Patrol","In My Arms",-5.098,84.595,5,0,1,276.68853,0.732203716,2006,1
"3777","TRAGVRD12903D09FED","Arsonists Get All The Girls","Violence in Fluid Triceratops",-3.424,129.824,3,1,1,240.92689,0.731473357,2009,1
"4997","TRAIUTE128F92F96F3","Dark Party","Active",-3.542,175.948,4,1,0,261.58975,0.731473357,2008,1
"11858","TRAUMNH128F92FB67F","The Jeff Healey Band","It Could All Get Blown Away",-7.535,94.543,4,2,1,283.03628,0.730674068,1992,1
"3223","TRAFYGA128F425A92C","Eurythmics","Missionary Man",-4.357,124.973,4,5,0,269.94893,0.730009843,1986,1
"12934","TRAWGXD128F428A36B","Mindy McCready","Guys Do It All The Time",-6.782,165.763,4,0,1,192.62649,0.729612115,1996,1
"14220","TRAYQLP128F92FA224","Beyonc̩ feat. Slim Thug","Check On It",-4.293,110.695,5,11,0,211.17342,0.729515474,2005,1
"1264","TRACEDP128F145F7BB","Dave Hollister","Tell Me Why",-7.232,118.052,4,6,1,305.34485,0.728852131,2006,1
"10710","TRASOWA128F427A1B6","Vilma Palma e Vampiros","Verano traidor",-7.202,102.129,4,7,1,411.97669,0.728706465,1993,1
"11365","TRATTGW128F427A82D","Foals","Red Socks Pugie",-6.611,156.917,5,9,0,315.27138,0.728377177,2008,1
